name,url,img_url,price,tokens
"쏘두위 비건 오일풀링 치약, 100g, 12개",https://www.coupang.com/vp/products/2150031101?itemId=12459547490&vendorItemId=79728537458,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,201600,쏘 두 위 비건 오 일 풀링 치약 
"네이쳐스웨이 소이 이소플라본 100mg 비건 캡슐, 60개입, 2개",https://www.coupang.com/vp/products/565427?itemId=11499131805&vendorItemId=78774345037,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,30780,네이쳐 스웨 이 소 이이 소 플 라 본 비건 캡슐  
"뉴트렉스하와이 퓨어 하와이안 스피룰리나 퍼시피카 500mg 타블렛 비건 글루텐 프리, 400개입, 1개",https://www.coupang.com/vp/products/3149364?itemId=47143&vendorItemId=3180741661,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,24510,뉴트 렉스 하 와이 퓨어 하 와 이안 스피룰리나 퍼시 피카 타블렛 비건 글루텐 프리  
"Solgar Turmeric Root Extract 솔가 강황 뿌리 추출물 400mg 식물성 캡슐 60정 1정/1일. 항산화 심장 관절 면역. Non-GMO Vegan, 1병, 60캡슐",https://www.coupang.com/vp/products/5184747431?itemId=7181011502&vendorItemId=70407580778,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,34490,솔 가 강황 뿌리 추출 물 식물성 캡슐 정정 일 항산화 심장 관절 면 역병 캡슐
"쏘두위 비건 오일풀링 치약, 100g, 15개",https://www.coupang.com/vp/products/2150031101?itemId=12459547489&vendorItemId=79728537439,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,227500,쏘 두 위 비건 오 일 풀링 치약 
"휘게 비건 선크림 SPF50+ PA++++, 50ml, 10개",https://www.coupang.com/vp/products/5418143016?itemId=12459360441&vendorItemId=79728437444,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,191320,휘 게 비건 선크림 
"오늘 나는 비건:소문난 레스토랑의 맛있는 비건 레시피 53, 리스컴, 김홍미",https://www.coupang.com/vp/products/6138512275?itemId=11756949112&vendorItemId=79030789364,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13500,오늘 나 는 비건 소문난 레스토랑 의 맛있는 비건 레시피 리스컴 김홍 미
"고기대신 비건 궁중 불고기 (냉동), 600g, 1팩",https://www.coupang.com/vp/products/5848900793?itemId=10172502929&vendorItemId=77455077779,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,12960,고 기 대신 비건 궁 중 불고기 냉동 팩
"에너데이 녹차유산균 분말 녹차유래유산균 프로바이오틱스 식물성 비건 락토바실러스 플란타룸 가세리 프리바이오틱스 프락토올리고당 유산균먹이 비타민 엽산 비오틴 판토텐산칼슘, 1개, 230g",https://www.coupang.com/vp/products/1616142541?itemId=2758689382&vendorItemId=70748594424,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,28900,에 너 데이 녹차 유산균 분말 녹차 유래 유산균 프로바이오틱스 식물 성비 건락 토바 실러 스플란타룸 가 세리 프리바이오틱 스프 락토 올리고당 유산균 먹이 비타민 엽산 비오틴 판토텐산 칼슘 
"캘리피아팜스 바리스타 블렌드 아몬드 밀크 언스위튼드 글루텐 프리 비건, 4개, 946ml",https://www.coupang.com/vp/products/1894755109?itemId=5179745781&vendorItemId=72488997132,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,25270,캘리 피아 팜 스 바리스타 블렌드 아몬드 밀크 언스 위 튼 드 글루텐 프리 비건 
"휘게 비건 선크림 SPF50+ PA++++, 50ml, 7개",https://www.coupang.com/vp/products/5418143016?itemId=12459360433&vendorItemId=79728437331,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,135110,휘 게 비건 선크림 
"잇츠베러 마요, 245g, 1개",https://www.coupang.com/vp/products/213694586?itemId=648658719&vendorItemId=4686564310,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/341190947662277-51670e73-02dc-4709-83b7-cc98e6312c3b.jpg,5500,잇 츠 베러마 요 
"쿠치나앤아모레 바질 페스토 비건 & 넛 프리, 1개, 225g",https://www.coupang.com/vp/products/5107968466?itemId=6968032693&vendorItemId=74260443440,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e9b5/8360e515b1343595e8742ac6cc146c0525ae6e2638bba3c60bc7f0543649.jpg,5750,쿠치 나 앤 아모레 바질 페스 토비 건넛 프리 
"마켓온오프 오리지널 후무스 (냉동), 120g, 1개",https://www.coupang.com/vp/products/2155299166?itemId=3660803443&vendorItemId=71646237169,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1551901050928557-62e3f794-ab77-4fbd-aef9-7891e7fbd6ee.jpg,8000,마켓 온 오프 오 리지 널 후무스 냉동 
"광합성 비건 단백질 쉐이크 그레인, 10병",https://www.coupang.com/vp/products/5602765671?itemId=9028968280&vendorItemId=76315379165,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4847/bbf037089b174c144d56ff0afddfc3febb6c89a6483a1b83f39e785656e1.jpg,15900,광합성 비건 단백질 쉐이크 그 레인 병
"히피스 칙피 퍼프 스리라차 선샤인 글루텐 프리 비건, 113g, 4개",https://www.coupang.com/vp/products/5432187983?itemId=8235121649&vendorItemId=75523146523,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b4c2/ef66e9cf533280a0e11d38be062364dc58e0d99b6698dc249ed022b6f94c.jpg,15690,히 피스 칙피퍼프 스리 라차 선샤인 글루텐 프리 비건 
"청춘푸드 비건 앙파운드 단호박 앤 고구마 3입 (냉동), 300g, 1박스",https://www.coupang.com/vp/products/5727498002?itemId=9600078229&vendorItemId=76884662203,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9784354986135471-fe80d132-760b-4075-a5ac-f91f593bdaff.jpg,11970,청춘 푸드 비건 앙 파운드 단호박 앤 고구마  냉동 박스
"닥터카리나 비건 젤 퓨어 러브젤 튜브형, 1개",https://www.coupang.com/vp/products/5684927844?itemId=9398244570&vendorItemId=78165823583,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mycjvkwx/05517d6e5ae746cc953a4a206b050d70.jpg,14900,닥터 카리나 비건 젤 퓨어 러브젤 튜브 형 
"나뚜루 비건 캐슈바닐라 아이스크림 파인트 (냉동), 474ml, 1개",https://www.coupang.com/vp/products/1570932716?itemId=2686270726&vendorItemId=70676750242,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/70850127162455-743ba652-ec4e-45a3-9f7f-c03a0d9135b9.jpg,5750,나뚜 루비 건 캐슈 바닐라 아이스크림 파인트 냉동 
"더건강한쌀베이글 마이올리브 쌀베이글 3개입 (냉동), 345g, 1개",https://www.coupang.com/vp/products/6085859951?itemId=11309402958&vendorItemId=78586006703,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10800,더 건강한 쌀 베이글 마이 올리브 쌀 베이글  냉동 
